Date,State,Fire Name,Latitude,Longitude,Fire Cause
01/01/13,North Dakota,Oxbow Overlook 13,47.60228,-103.43472,Natural /Other/ known 
01/01/13,North Dakota,Glacier 13,47.624939,-103.415214,Natural /Other/ known 
01/01/13,Arizona,MIDDLE,33.077,-111.75919,Human/Incendiary /Other/ unknown 
01/01/13,South Dakota,BACKYARD,43.3192,-101.0294,Natural /Other/ unknown 
01/02/13,California,Walters,33.313447,-114.862947,Human/Miscellaneous /Other/ unknown 
01/02/13,Utah,Sky Ranch,37.0817,-113.3175,Human/Miscellaneous /Other/ known 
01/04/13,Oklahoma,Hopper,36.5636,-96.1919,Human/Equipment /Power Line 
01/05/13,California,BECKWITH,37.68062,-121.195544,Human/Accidental/Recreation
01/05/13,South Dakota,Marty East Housing,42.9944,-98.422,Human/Miscellaneous /Other/ unknown 
01/05/13,South Dakota,South Airport,43.25019,-100.85925,Human/Fire Use /Slash Burning 
01/06/13,California,BECKWITH 2,37.680346,-121.195506,Human/Accidental/Recreation
01/07/13,Oklahoma,BUCK JAM,35.7569,-94.5217,Human/Accidental/Recreation
01/08/13,South Dakota,Lafferty,43.263442,-101.198533,Natural /Other/ known 
01/08/13,Montana,WINTER,45.38,-107.8604,Human/Equipment /Other/ known 
01/08/13,Oklahoma,Crawford,36.41063,-96.35124,Human/Fire Use /Land Clearing 
01/08/13,Florida,LPK Roadside WF,25.4114,-80.6267,Human/Miscellaneous /Other/ unknown 
01/08/13,California,Bellflower 4,35.56272,-117.70294,Human/Miscellaneous /Other/ unknown 
01/08/13,Maryland,SHORTERS WHARF,38.38277778,-76.07027778,Human/Accidental/Recreation
01/09/13,New Mexico,BOW,32.3303,-104.3067,Human
01/09/13,South Dakota,Buettner,43.31372,-100.7295,Human/Equipment /Power Line 
01/10/13,South Dakota,Couch,43.1445,-100.90381,Human/Incendiary /Other/ unknown 
01/10/13,Arizona,EMBER,35.5433,-113.4192,Human/Fire Use /Burning Dump 
01/10/13,North Carolina,123 FIRE,36.53722222,-75.94444444,Undetermined
01/10/13,Mississippi,South Oswald Rd.,32.7583,-89.2258,Human/Fire Use /Trash Burning 
01/11/13,South Dakota,Wilcox,43.29889,-101.05125,Natural /Other/ unknown 
01/11/13,Mississippi,G-06 FIRE,30.44888889,-88.66861111,Human/Other
01/12/13,Mississippi,MM 52 EAST,30.45527778,-88.80472222,Human/Other
01/12/13,Florida,FLORA VISTA,28.45861111,-80.85166667,Human/Accidental/Recreation
01/12/13,California,Christmas,33.780625,-117.32725,Human/Equipment /Vehicle 
01/13/13,California,Tire,32.7525,-114.8461,Human/Equipment /Vehicle 
01/13/13,Arizona,Satellite Hill,31.8258,-111.9953,Human/Campfire /Cooking/warming 
01/14/13,Texas,DOLPHIN,25.95666667,-97.14777778,Human/Accidental/Recreation
01/14/13,Mississippi,Rolling Hills #1,32.7792,-89.2689,Human/Fire Use /Trash Burning 
01/14/13,New York,Spring Creek 1,40.64735,-73.838094,Human
01/15/13,California,Bradshaw,33.49294,-114.74061,Human/Miscellaneous /Other/ unknown 
